Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Moore, Alan",V For Vendetta,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,MOVE NEVER AVAILABLE FOR CHECK OUT 3/13/22,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2020,,
"Hutchinson, Shaun David",We Are The Ants,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,BANNED,BANNED,3/11/22,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2017,,
"Albertalli, Becky",What if it's us,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2018,,
"Wilson, Martin",What they always tell us,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2008,,
"McLemore, Anna-
 Marie",When the moon was ours,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2016,,
"Wersba, Barbara",Whistle me home,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,1997,,
"Green, John","Will Grayson, Will Grayson",Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"Dinnison, Kris",You and Me and Him,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2015,,
"LaCour, Nina",You know me well : a novel,Granbury Independent School District,Texas,,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",,,Removed from shelves,,"""In an abundance of caution, GISD libraries hae set aside the following list of books to be considered for review by the Library Review Committee. We have have full confidence that if the books on the list are NOT obscene or pornographic, as specified in Governor Abbott's letters, the committee will return them to the library shelves.",,,2016,,
"Hopkins, Ellen",You Know Me Well: A Novel,Granbury Independent School District,Texas,yes,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Informal Challenge,Removed While Under Review,Returned to Shelves MARCH 2022,,,,,,,
"Gino, Alex",Melissa (George),Greenville County,South Carolina,yes,School board also wants SC to suggest national ratings,Formal Challenge Filed,BANNED and RESTRICTED,Material REview Commitee had said to KEEP book with access restricted to students in grade 5 and above,Voted 10-2 to remove from all elementary schools. Will remain with parental permission in middle schools and unrestricted in high school.,,,,,,
"Mayer, Jane",Dark Money,Greenville County,South Carolina,n/a,retained - BUT school board changing curriculum policies,No Challenge Filed,Retained,board will allow to be used; revisiting policy,,,,,,,
"Green, John",Looking for Alaska,Greenville County,South Carolina,n/a,,No Challenge Filed,Challenged - Prop on shelves,In formal challenge process,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,Greenville County,South Carolina,n/a,,Informal Challenge,Challenged - Prop on shelves,In formal challenge process,,,,,,,
"Ehrenreich, Barbara",Nickel and Dimed,Greenville County,South Carolina,n/a,retained - BUT school board changing curriculum policies,No Challenge Filed,Retained,board will allow to be used; revisiting policy,,,,,,,
"Gladwell, Malcom",Talking to Strangers,Greenville County,South Carolina,n/a,retained - BUT school board changing curriculum policies,No Challenge Filed,Retained,board will allow to be used; revisiting policy,,,,,,,
"Alexander, Michelle","The new Jim Crow : mass
 incarceration in the age of
 colorblindness",Greenville County,South Carolina,n/a,retained - BUT school board changing curriculum policies,No Challenge Filed,Retained,board will allow to be used; revisiting policy,,,,,,,
"Draper, Sharon",Blended,Hamilton County Schools,Tennessee,yes,Fall 2021,Unknown,Removed WHile Under Review,Part of special library committee review outside of policy,,,,,,,
"Benway, Robin",Far from the Tree,Hamilton County Schools,Tennessee,yes,,Formal Challenge Filed,Removed WHile Under Review,Called out in OP ED by School Board MemberPart of special library committee review outside of policy,,,,,,,
"Yang, Kelly",Front Desk,Hamilton County Schools,Tennessee,yes,,Unknown,Removed WHile Under Review,Part of special library committee review outside of policy,,,,,,,
"Rhodes, Jewell Parker",Ghost Boys,Hamilton County Schools,Tennessee,yes,,Unknown,Removed WHile Under Review,Part of special library committee review outside of policy,,,,,,,
"Myers, Walter Dean",Monster ,Hamilton County Schools,Tennessee,yes,,Unknown,Removed WHile Under Review,Removed from 7th grade reading club selections due to parental concerns about language and sexuality,,,,,,,
"Kemmerer, Brigid",More Than We Can Tell,Hamilton County Schools,Tennessee,yes,Fall 2021,Unknown,Removed WHile Under Review,alled out in OP ED by School Board Member,,,,,,,
"Picoult, Jodi",My Sister's Keeper,Hamilton County Schools,Tennessee,yes,,Unknown,Removed WHile Under Review,Removed from 7th grade reading club selections due to parental concerns about language and sexuality,,,,,,,
"Thomas, Angie",On the Come Up,Hamilton County Schools,Tennessee,yes,Fall 2021,Formal Challenge Filed,Removed WHile Under Review,Called out in OP ED by School Board Member Part of special library committee review outside of policy,,,,,,,
"Barrie, James Matthew",Peter Pan,Hamilton County Schools,Tennessee,yes,,Unknown,Removed WHile Under Review,Part of special library committee review outside of policy,,,,,,,
